USA-DET,USA-BOS
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-DAL,USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-BOI,USA-ANC,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-ORL
USA-SFO,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-ATL
