USA-DET,USA-BOS
USA-DEN,USA-PHX
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-MIW,USA-MIN,USA-PIT,USA-KAN,USA-CRS,USA-CTN,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-DAL,USA-CHI
USA-MAW,USA-BOI,USA-DES,USA-BIR,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-SFO,USA-AUT,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-JAF,USA-TLS,USA-ABU,USA-REN,USA-OKL,USA-VIR,USA-OMA,USA-LIT
USA-ORL
USA-ATL
