USA-DET,USA-BOS
USA-ORL
USA-NEO,USA-HOU,USA-PHI,USA-CIN,USA-IDO,USA-TPA
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-OKL,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DAL
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-NAS
