USA-ORL
USA-ATL
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NEO,USA-NYM,USA-PHI,USA-SLT
USA-BOI,USA-COO,USA-ANC,USA-POR
USA-MIW,USA-JAF,USA-KAN,USA-SEA,USA-OKL,USA-OMA
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-PIT,USA-DEN,USA-WAS,USA-DAL
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-CRS,USA-CTN,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-NAS
