USA-ATL
USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-JCS,USA-HON,USA-JAF,USA-MAW,USA-IOW,USA-TLS,USA-BOI,USA-ANC,USA-ABU,USA-DES,USA-REN,USA-RAL,USA-VIR,USA-OMA,USA-LIN,USA-LIT,USA-LEK
USA-DET,USA-BOS
USA-DAL
USA-PHX,USA-AUT
USA-LAX,USA-SAN,USA-CHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-HOU,USA-PHI
USA-ORL
