USA-NYM,USA-DET
USA-CHI
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI,USA-ATL
USA-NEO,USA-OKL,USA-SLT,USA-BOS
USA-BOI,USA-ANC,USA-POR
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-SFO,USA-KAN,USA-DEN,USA-WAS,USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-MIW,USA-MIN,USA-PIT,USA-CIN,USA-IDO,USA-TPA
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
