USA-DET,USA-BOS
USA-NEO,USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-DAL
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN,USA-COO
USA-SFO,USA-KAN,USA-SEA,USA-OKL,USA-LAX,USA-POR,USA-SAN
USA-PHX,USA-AUT
USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-MIW,USA-MIN,USA-PIT,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-ORL
