USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-OKL,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-LAX,USA-SAN
USA-ORL
USA-SFO,USA-MIN,USA-KAN,USA-SEA,USA-POR
USA-DEN,USA-WAS,USA-COO,USA-SAT,USA-SLT
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-PIT,USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NYM,USA-DET,USA-BOS
USA-DAL
USA-NEO,USA-HOU,USA-PHI,USA-ATL
