USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-BOI,USA-ANC,USA-POR
USA-DAL
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ATL
USA-CHI
USA-HOU,USA-PHI,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
