USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-HOU,USA-PHI,USA-ATL
USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-NEO,USA-DAL,USA-BIR
USA-ORL
USA-MIW,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN,USA-PHX
USA-KAN,USA-COO,USA-OKL
USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-SEA,USA-LAX,USA-POR,USA-SAN
