USA-JCS,0,0,89,0,1,3,0,10,98,9,0,0,0,0,0,1,20,0,0,0,0,30,10,0,0,0,0,0,12,1,0,0,4,0,0,34,0,12,10,0,9,0,0,0,0,98,0,9,0,0,5,0,0,3,0
USA-SFO,0,0,0,2,5,0,80,10,0,0,51,1,12,5,73,1,0,9,70,0,4,0,0,1,0,2,11,5,0,15,7,1,5,4,10,1,2,0,6,14,2,2,0,61,2,0,70,0,3,0,0,1,0,0,3
USA-HON,89,0,0,0,1,2,0,16,91,2,0,0,0,0,0,0,29,1,0,0,0,40,2,0,0,0,0,0,4,1,0,0,3,0,0,33,0,4,9,0,1,0,0,0,0,87,0,2,0,0,2,0,0,2,0
USA-LEK,3,0,2,29,63,99,0,0,3,77,5,0,0,0,0,4,4,0,0,0,2,2,71,4,61,0,0,0,71,0,0,4,0,0,7,3,1,71,0,0,45,1,0,0,0,3,0,94,0,0,81,49,0,0,0
USA-MIW,0,2,0,0,44,29,8,0,0,11,26,0,0,0,0,31,0,0,0,0,15,0,7,32,52,16,0,0,6,1,4,31,1,14,43,1,4,6,1,0,27,1,0,3,1,0,8,24,3,22,15,42,0,29,34
USA-JAF,1,5,1,44,0,62,2,0,1,48,39,0,0,0,0,4,1,0,2,1,1,1,44,4,37,0,0,0,41,2,0,4,3,0,41,2,1,41,3,0,72,1,0,1,0,1,4,60,0,0,48,23,0,63,2
USA-MAW,3,0,2,29,62,0,0,0,3,76,4,0,0,0,0,4,5,0,0,0,2,3,72,4,61,0,0,0,72,0,0,4,0,0,6,3,1,72,0,0,44,1,0,0,0,3,0,93,0,0,82,49,0,99,0
USA-MIN,0,80,0,8,2,0,0,3,0,0,44,1,6,4,75,6,0,0,72,3,4,0,0,6,2,9,7,6,0,4,4,5,2,11,1,0,6,0,2,10,1,2,0,64,2,0,82,0,9,3,0,5,0,0,6
USA-PIT,0,70,0,8,4,0,82,0,0,0,41,3,7,8,79,4,0,0,66,9,0,0,0,4,5,11,6,8,0,0,1,4,0,12,3,0,6,0,0,8,2,3,0,70,3,0,0,0,2,6,0,3,0,0,13
USA-IOW,98,0,91,0,1,3,0,10,0,9,0,0,0,0,0,1,20,0,0,0,0,31,10,0,0,0,0,0,12,1,0,0,5,0,0,35,0,12,11,0,9,0,0,0,0,96,0,9,0,0,5,0,0,3,0
USA-TLS,9,0,2,11,48,76,0,0,9,0,5,0,0,0,0,1,2,0,0,0,1,2,94,1,39,0,0,0,93,0,0,1,0,0,14,1,0,93,1,0,67,0,0,0,0,9,0,83,0,0,94,54,0,77,0
USA-KAN,0,51,0,26,39,4,44,13,0,5,0,0,5,0,33,6,0,12,31,1,1,0,2,6,5,7,0,0,1,16,3,8,4,8,44,3,10,1,5,0,32,5,0,30,4,0,41,4,1,3,3,10,0,5,2
USA-HOU,0,1,0,0,0,0,1,0,0,0,0,0,1,11,14,0,0,0,9,90,11,0,0,0,0,5,1,0,0,0,2,0,22,4,0,0,0,0,0,1,0,0,34,15,0,0,3,0,0,4,0,0,2,0,33
USA-DEN,0,12,0,0,0,0,6,2,0,0,5,1,0,41,10,0,0,50,4,0,1,0,0,0,0,0,0,1,0,44,44,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0
USA-RON,0,1,0,42,23,49,5,0,0,54,10,0,0,0,0,43,0,0,0,0,23,0,49,43,61,2,0,0,49,0,0,44,8,2,12,13,11,49,11,0,27,12,0,0,11,0,3,43,2,1,58,0,0,49,12
USA-WAS,0,73,0,0,0,0,75,0,0,0,33,14,10,4,0,0,0,4,80,21,0,0,0,0,0,5,8,8,0,3,5,0,0,6,0,0,1,0,0,10,0,1,0,87,1,0,79,0,5,3,0,0,0,0,17
USA-CRS,1,1,0,31,4,4,6,0,1,1,6,0,0,16,0,0,0,0,0,0,66,0,0,99,26,1,0,0,0,0,0,98,39,1,1,49,16,0,43,0,0,44,0,0,43,1,4,1,8,1,2,43,0,4,13
USA-BOI,20,0,29,0,1,5,0,66,20,2,0,0,0,0,0,0,0,7,0,0,0,87,4,0,11,0,0,0,4,1,0,0,0,0,0,8,0,4,0,0,1,0,0,0,0,20,0,4,0,0,4,0,0,4,0
USA-COO,0,9,1,0,0,0,0,30,0,0,12,0,50,0,4,0,7,0,0,0,0,7,0,0,0,0,0,0,0,87,64,0,0,0,28,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
USA-NYM,0,70,0,0,2,0,72,0,0,0,31,9,4,3,80,0,0,0,0,17,0,0,0,0,0,0,18,5,0,0,0,0,0,1,1,0,0,0,0,22,0,0,1,82,0,0,66,0,7,0,0,0,0,0,17
USA-PHI,0,0,0,0,1,0,3,0,0,0,1,90,0,3,21,0,0,0,17,0,3,0,0,0,0,5,1,2,0,0,1,0,13,4,0,0,0,0,0,1,0,0,34,23,0,0,9,0,1,4,0,0,0,0,36
USA-AUT,0,4,0,15,1,2,4,0,0,1,1,11,1,47,0,66,0,0,0,3,0,0,0,66,9,1,0,0,0,2,3,65,44,2,0,34,9,0,33,0,0,31,0,0,31,0,0,1,20,1,1,23,0,2,6
