USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-PIT,USA-NEO,USA-BIR,USA-SLT
USA-CHI
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ATL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-DAL
USA-KAN,USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DEN,USA-PHX
USA-HOU,USA-PHI
