USA-ORL
USA-HOU,USA-SAN,USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-ATL
USA-DAL
USA-MIN,USA-PIT
USA-DEN,USA-PHX
USA-MIW,USA-NEO,USA-CRS,USA-AUT,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DET,USA-BOS
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-LAX,USA-POR
