USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PHX
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-OKL,USA-SLT,USA-BOS
USA-BOI,USA-ANC,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-HOU,USA-PHI,USA-SAN
USA-ORL
USA-CHI
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-ATL
