USA-DEN,USA-PHX
USA-DAL
USA-JAF,USA-SEA,USA-OKL,USA-LAX,USA-OMA,USA-SAN
USA-DET,USA-BOS
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-NAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-BOI,USA-COO,USA-ANC,USA-POR
USA-HOU,USA-PHI,USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
