USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-PHI,USA-DAL,USA-SLT
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OKL,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-CTN,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-NAS
USA-ORL
USA-ATL
USA-SFO,USA-MIN,USA-KAN,USA-SEA,USA-POR
USA-BOI,USA-BIR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DEN,USA-COO
USA-DET,USA-BOS,USA-CHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
