USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-DET,USA-BOS
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-DAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CHI
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-SFO,USA-KAN,USA-DEN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ORL
