USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-BOI,USA-ANC,USA-POR
USA-PIT,USA-WAS,USA-PHI,USA-DAL
USA-ATL
USA-MIW,USA-KAN,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-NYM,USA-DET
USA-NEO,USA-OKL,USA-SLT,USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ORL
USA-CHI
