USA-HOU,USA-PHI
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-CRS,USA-CTN,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-NAS
USA-MIW,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-KAN,USA-DEN,USA-COO,USA-SEA,USA-OKL,USA-POR
USA-MIN,USA-PIT,USA-NEO,USA-WAS,USA-NYM,USA-SLT
USA-CHI
USA-BOI,USA-BIR
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-ATL
USA-DET,USA-BOS
USA-PHX,USA-AUT,USA-ORL
