USA-HOU,USA-PHI,USA-ATL
USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-SFO,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-MIN,USA-PIT,USA-KAN,USA-STL,USA-CIN,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-PHX,USA-AUT,USA-ORL
USA-DAL
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-LAX,USA-SAN
