USA-BOI,USA-ANC,USA-POR
USA-HOU,USA-PHI,USA-ATL
USA-CHI
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-OKL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DET,USA-BOS
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ORL
