USA-DEN,USA-PHX
USA-BOI,USA-COO,USA-ANC,USA-SEA,USA-POR
USA-CHI
USA-SFO,USA-MIN,USA-NYM,USA-DET,USA-BOS
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ATL
USA-MIW,USA-JAF,USA-PIT,USA-KAN,USA-OKL,USA-OMA
USA-NEO,USA-HOU,USA-WAS,USA-PHI,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-NAS
USA-DAL
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-LIN
