USA-COO,USA-SEA,USA-SAT,USA-OKL,USA-LAX
USA-DAL
USA-PHX,USA-AUT,USA-ORL
USA-HOU,USA-PHI,USA-SAN
USA-DEN
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DET,USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
