USA-NEO,USA-IDO,USA-OKL
USA-HON,USA-BOI,USA-ANC
USA-DAL
USA-NYM,USA-DET,USA-BOS
USA-JCS,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-CHI
USA-MIN,USA-PIT,USA-HOU,USA-WAS,USA-PHI,USA-CIN,USA-SAT,USA-TPA,USA-SLT
USA-ATL
USA-DEN,USA-PHX
USA-MIW,USA-JAF,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-NAS
USA-ORL
USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-POR
