USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-DEN,USA-PHX
USA-PIT,USA-NEO,USA-DAL,USA-BIR
USA-CHI
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-HOU,USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-SFO,USA-MIW,USA-MIN,USA-KAN,USA-CRS,USA-AUT,USA-CTN,USA-LAX,USA-SAN,USA-RON,USA-NAS
USA-ATL
