USA-SEA,USA-SAT,USA-LAX
USA-HOU,USA-PHI



USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-JAF,USA-OMA,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-BOI,USA-BIR
USA-ANC,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE






USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-MIW,USA-NEO,USA-OKL
