USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OMA,USA-LIT,USA-RON,USA-LEK

USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-LIN

USA-NEO,USA-BIR

USA-BOI,USA-POR
USA-SFO,USA-KAN,USA-OKL
USA-WAS,USA-NYM,USA-SLT

USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN


USA-CRS,USA-AUT,USA-CTN,USA-NAS


USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-IDO,USA-TPA

USA-ANC,USA-ABU,USA-REN,USA-VIR
