
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS



USA-BOI,USA-BIR



USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-HOU,USA-PHI,USA-SAN

USA-NEO,USA-SLT
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK

USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-COO,USA-SEA,USA-POR
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON
