


USA-NEO,USA-NYM,USA-SLT
USA-ANC,USA-ABU,USA-REN,USA-VIR

USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-LAX,USA-SAN
USA-BOI,USA-BIR
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-POR


USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-KAN,USA-WAS



USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OMA,USA-LIT,USA-RON,USA-LEK

