USA-NEO,USA-NYM,USA-SLT

USA-JCS,USA-HON,USA-IOW,USA-LIN

USA-COO,USA-SEA,USA-SAT,USA-OKL

USA-SFO,USA-KAN,USA-POR
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE

USA-HOU,USA-PHI


USA-CIN,USA-IDO,USA-TPA
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-BOI,USA-ANC
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK

USA-LAX,USA-SAN

USA-MIN,USA-PIT,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
