USA-HOU,USA-PHI
USA-NEO,USA-SLT


USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-BOI,USA-ANC

USA-JAF,USA-KAN,USA-OKL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS

USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK


USA-COO,USA-SEA,USA-POR
USA-LAX,USA-SAN


USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
