USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DEN,USA-COO,USA-SEA,USA-SAT

USA-RAL,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK

USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-HOU,USA-PHI


USA-BOI,USA-BIR

USA-LAX,USA-POR,USA-SAN
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN


USA-NEO,USA-NYM,USA-SLT

