USA-BIR,0,0,0,38,23,42,0,0,0,5,0,0,0,0,0,0,2,40,0,0,10,0,0,2,2,0,1,46,2,0,0,0,1,1,2,0,0,3,0,1,0,0,0,0,0,3,0,0,5,14,46,5
USA-CIN,0,4,0,12,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,96,100,1,0,0,0,0,0,21,0,64,21,0,0,0,0,0,11,0,0
USA-DES,0,0,0,45,53,92,0,0,0,44,0,0,0,0,0,0,0,0,0,0,26,0,0,30,0,46,0,0,34,0,0,0,0,0,4,0,0,30,0,13,0,0,0,0,0,0,0,0,44,0,100,0
USA-REN,0,0,1,2,13,42,0,0,1,90,0,0,0,0,0,0,0,0,0,0,44,0,8,96,0,2,0,34,0,0,0,0,0,0,0,0,0,92,1,44,0,0,0,0,0,0,0,0,90,0,34,0
USA-PHX,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
USA-SEA,0,5,0,0,0,0,0,51,0,0,2,0,0,5,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,10,0,0,0,23,0,0,0,0,0,0,0,0,5,0,0,0,0
USA-SAT,0,6,0,2,0,0,4,0,0,0,0,0,0,8,0,7,0,0,27,0,0,0,0,0,0,0,43,0,0,0,49,0,41,43,14,0,0,0,17,0,11,0,23,11,0,7,0,0,0,0,0,0
USA-IDO,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,0,0,0,41,0,96,5,0,0,0,0,0,21,0,64,21,0,0,0,0,0,14,0,0
USA-TPA,0,4,0,12,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,43,96,0,1,0,0,0,0,0,21,0,64,21,0,0,0,0,0,11,0,0
USA-OKL,0,7,0,29,38,4,0,1,0,1,37,0,0,0,0,0,0,0,14,0,1,0,0,0,0,2,1,4,0,0,10,14,5,1,0,0,0,0,0,28,0,0,0,0,0,5,0,0,1,22,4,0
USA-RAL,34,0,28,0,0,0,0,0,30,0,0,0,0,0,0,0,17,0,0,0,5,16,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,27,13,64,0,25,65,12,0,0,24,0,0,0,18
USA-DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
USA-VIR,4,0,0,1,7,38,0,0,1,86,0,0,0,0,0,0,0,0,0,0,44,0,11,94,0,3,0,30,92,0,0,0,0,0,0,4,0,0,1,41,0,0,0,0,0,0,0,0,86,0,30,0
USA-LAX,0,1,1,0,0,0,0,8,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,23,17,0,0,0,27,0,1,0,4,27,0,6,28,0,0,0,73,1,0,0,0
USA-OMA,0,1,0,8,40,16,0,0,0,48,31,0,0,0,0,0,0,0,0,0,15,1,0,41,0,1,0,13,44,0,0,0,0,0,28,13,0,41,4,0,23,0,22,23,0,0,0,6,48,0,13,1
USA-CUO,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,6,18,0,0,17,0,21,0,0,0,0,11,21,21,0,64,0,0,27,23,0,0,57,99,0,0,0,24,0,0,0,21
USA-ATL,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
