USA-LAX,USA-SAN
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT

USA-COO,USA-SEA,USA-POR




USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS

USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-ANC

USA-PHX,USA-AUT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-JAF,USA-KAN
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE


