


USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-OKL,USA-BIR,USA-LEK
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE

USA-BOI,USA-ANC
USA-SFO,USA-MIN,USA-KAN,USA-WAS

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-LAX,USA-SAN

USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL


USA-COO,USA-SEA,USA-POR

USA-NEO,USA-NYM,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT

