
USA-BOI,USA-ANC
USA-JAF,USA-ABU,USA-REN


USA-MIW,USA-NEO,USA-OKL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI
USA-SFO,USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN


USA-CIN,USA-SAT,USA-IDO,USA-TPA


USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE

USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
