


USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-COO,USA-SEA,USA-POR


USA-HON,USA-BOI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-SLT
USA-LAX,USA-SAN
USA-JCS,USA-IOW,USA-ANC,USA-RAL,USA-VIR
USA-HOU,USA-PHI,USA-ATL

USA-ABU,USA-REN
USA-CRS,USA-CTN

USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK

USA-AUT,USA-CUO,USA-CLE,USA-NAS
