USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-OKL,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA


USA-NEO,USA-HOU,USA-PHI,USA-ATL

USA-CRS,USA-AUT,USA-CTN,USA-NAS



USA-BOI,USA-BIR
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE

USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT


USA-LAX,USA-SAN

