USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE

USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-CIN,USA-SAT,USA-IDO,USA-TPA

USA-NEO,USA-SLT

USA-HOU,USA-PHI


USA-COO,USA-OKL

USA-SEA,USA-LAX,USA-POR,USA-SAN

USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON

USA-BOI,USA-BIR
