
USA-HOU,USA-PHI,USA-SAN
USA-DES,USA-BIR,USA-LEK

USA-SEA,USA-SAT,USA-LAX
USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-SFO,USA-KAN,USA-POR

USA-MIW,USA-JAF,USA-OKL,USA-OMA


USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-JCS,USA-HON,USA-IOW,USA-LIN



USA-MIN,USA-PIT,USA-WAS
USA-NEO,USA-NYM,USA-SLT

USA-STL,USA-CIN,USA-IDO,USA-TPA
