USA-NEO,USA-NYM,USA-SLT
USA-BOI,USA-ANC
USA-HOU,USA-PHI

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS





USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-MIN,USA-KAN,USA-WAS

USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-POR


USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-OKL,USA-BIR,USA-LEK
