USA-CIN,USA-IDO,USA-TPA
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-LEK




USA-BOI,USA-ANC,USA-POR
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS

USA-HON,USA-IOW,USA-LIN
USA-MIN,USA-PIT
USA-HOU,USA-PHI

USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-LAX,USA-SAN
USA-NEO,USA-BIR,USA-SLT
USA-JCS,USA-RAL,USA-VIR
USA-SFO,USA-DEN,USA-WAS


USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
