


USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-COO,USA-OKL
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-BOI,USA-ANC

USA-HOU,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-NEO,USA-BIR
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS




USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-NYM,USA-SLT
USA-ABU,USA-LAX
