USA-COO,USA-SEA,USA-SAT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON


USA-JCS,USA-LIN
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-JAF,USA-DES,USA-LEK



USA-SFO,USA-KAN,USA-OKL


USA-BOI,USA-BIR
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-HOU,USA-SAN


