USA-BOI,USA-POR


USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-LAX,USA-SAN
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK



USA-HOU,USA-PHI


USA-HON,USA-IOW,USA-ANC
USA-STL,USA-CIN,USA-IDO,USA-TPA

USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-COO,USA-SEA,USA-SAT,USA-OKL

USA-JCS,USA-LIN
