USA-CIN,USA-IDO,USA-TPA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-RAL

USA-SFO,USA-MIN,USA-NYM
USA-JAF,USA-KAN

USA-MIW,USA-NEO,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS

USA-LAX,USA-SAN
USA-STL,USA-OMA,USA-CUO,USA-CLE

USA-DEN,USA-COO,USA-SEA,USA-SAT

USA-PIT,USA-WAS,USA-SLT



USA-PHX,USA-AUT
USA-BOI,USA-ANC,USA-POR
USA-HOU,USA-PHI
