
USA-BOI,USA-BIR


USA-JCS,USA-HON,USA-IOW,USA-RAL

USA-CRS,USA-AUT,USA-CTN,USA-NAS


USA-HOU,USA-LAX,USA-SAN
USA-JAF,USA-DES,USA-LEK


USA-SFO,USA-MIN,USA-KAN,USA-NYM
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO,USA-SEA,USA-POR
USA-MIW,USA-NEO,USA-OKL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT,USA-WAS,USA-PHI,USA-SLT


