USA-SEA,USA-SAT,USA-LAX



USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-MIW,USA-NEO,USA-OKL
USA-BOI,USA-ANC,USA-POR


USA-NYM,USA-SLT
USA-JAF,USA-KAN,USA-OMA,USA-SAN


USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE

USA-HOU,USA-PHI

USA-SFO,USA-DEN,USA-WAS
