
USA-BOI,USA-POR
USA-NEO,USA-NYM,USA-SLT

USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-HON,USA-IOW,USA-ANC
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-SFO,USA-KAN,USA-DEN,USA-WAS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT

USA-MIN,USA-PIT
USA-LAX,USA-SAN


USA-HOU,USA-PHI

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS


USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-RAL
