USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-NYM,USA-SLT
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL

USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS





USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-BOI,USA-BIR

USA-MIW,USA-NEO,USA-OKL


USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-HOU,USA-PHI

