USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-COO,USA-SEA,USA-POR


USA-SFO,USA-MIN,USA-KAN,USA-WAS


USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-LAX,USA-SAN




USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA


USA-BOI,USA-ANC
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
