
USA-COO,USA-SEA,USA-POR


USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-BOI,USA-ANC
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-LAX,USA-SAN



USA-HOU,USA-PHI



USA-JAF,USA-KAN,USA-OKL
USA-NEO,USA-SLT
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
