USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-BOI,USA-ANC
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE

USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK

USA-HOU,USA-PHI
USA-WAS,USA-NYM,USA-SLT



USA-LAX,USA-SAN


USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-MIW,USA-MIN,USA-NEO
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON

USA-SFO,USA-KAN,USA-COO,USA-SEA,USA-OKL,USA-POR
