USA-COO,USA-SEA,USA-POR


USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-JAF,USA-KAN

USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA



USA-LAX,USA-SAN
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS

USA-BOI,USA-BIR

USA-SFO,USA-MIN,USA-WAS,USA-SAT,USA-SLT



