USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON

USA-SEA,USA-SAT,USA-LAX
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA


USA-JCS,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-SFO,USA-KAN,USA-OKL
USA-JAF,USA-DES,USA-LEK

USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-POR,USA-SAN
USA-HON,USA-IOW,USA-ANC


USA-HOU,USA-PHI,USA-ATL

USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT

USA-BOI,USA-BIR
