USA-COO,USA-SEA,USA-POR
USA-SFO,USA-DEN,USA-WAS

USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NYM,USA-DET
USA-MIN,USA-PIT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN



USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI


USA-MIW,USA-NEO,USA-BIR,USA-SLT
USA-BOI,USA-ANC

USA-JAF,USA-KAN,USA-OKL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
