USA-SFO,USA-MIN,USA-KAN,USA-WAS,USA-NYM,USA-SLT
USA-BOI,USA-ANC

USA-MIW,USA-NEO,USA-OKL

USA-LAX,USA-SAN
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE

USA-CIN,USA-SAT,USA-IDO,USA-TPA

USA-COO,USA-SEA,USA-POR

USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-HOU,USA-PHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON



USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK

