USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-BOI,USA-ANC
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-POR


USA-NEO,USA-NYM,USA-SLT


USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI,USA-ATL

USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK




