USA-LAX,USA-SAN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-NEO,USA-NYM,USA-SLT


USA-JAF,USA-KAN,USA-OKL,USA-OMA

USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-SFO,USA-MIN,USA-WAS

USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK

USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE

USA-BOI,USA-BIR


USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
