
USA-HOU,USA-PHI,USA-SAN

USA-SEA,USA-SAT,USA-LAX



USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-COO,USA-OKL

USA-NEO,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS




USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
