USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-ANC,USA-POR
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-LAX,USA-SAN
USA-BOI,USA-BIR

USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON






USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS


