
USA-JAF,USA-KAN,USA-OKL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT



USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN

USA-SFO,USA-MIN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-LAX,USA-SAN


USA-BOI,USA-ANC

USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK

