USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-HOU,USA-PHI
USA-ANC,USA-ABU,USA-REN,USA-VIR




USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-POR,USA-SAN

USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE


USA-BOI,USA-BIR

USA-SFO,USA-MIN,USA-KAN,USA-WAS


USA-JCS,USA-HON,USA-IOW,USA-RAL
