USA-HOU,USA-PHI

USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-JAF,USA-KAN,USA-NYM




USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-COO,USA-SEA,USA-POR


USA-CIN,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-LAX,USA-SAN
USA-BOI,USA-ANC
USA-SAT,USA-OKL,USA-SLT
USA-MIW,USA-NEO,USA-BIR
